departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay,avg_max_humidity_dep,avg_max_temp_dep,avg_min_humidity_dep,avg_min_temp_dep,avg_rainfall_on_rainy_days_dep,avg_rainfall_per_day_dep,avg_wind_speed_dep,days_above_35C_dep,days_high_humidity_dep,days_high_wind_dep,days_in_month_dep,extreme_weather_days_dep,heavy_rain_days_dep,max_daily_rainfall_dep,max_temperature_dep,max_wind_speed_dep,min_temperature_dep,rainy_days_dep,temp_range_mean_dep,temp_volatility_dep,wind_speed_std_dep,avg_max_humidity_arr,avg_max_temp_arr,avg_min_humidity_arr,avg_min_temp_arr,avg_rainfall_on_rainy_days_arr,avg_rainfall_per_day_arr,avg_wind_speed_arr,days_above_35C_arr,days_high_humidity_arr,days_high_wind_arr,days_in_month_arr,extreme_weather_days_arr,heavy_rain_days_arr,max_daily_rainfall_arr,max_temperature_arr,max_wind_speed_arr,min_temperature_arr,rainy_days_arr,temp_range_mean_arr,temp_volatility_arr,wind_speed_std_arr,month_num,n_public_holidays_act,n_public_holidays_nsw,n_public_holidays_nt,n_public_holidays_qld,n_public_holidays_sa,n_public_holidays_tas,n_public_holidays_vic,n_public_holidays_wa,n_public_holidays_national,n_public_holidays_total,has_major_holiday,school_holiday_days,pct_school_holiday
Melbourne,Sydney,Tigerair Australia,2011-11-01,2011-11,2011,141.0,141.0,127.0,14.0,0.0,0.0,0.0992907801418439,0,93.46666666666668,23.383333333333333,43.53333333333333,11.99,9.909090909090908,3.6333333333333337,4.916333333333333,0.0,22,2.0,30,15,6.0,33.6,34.0,10.1,6.8,11.0,11.393333333333334,4.1689655172413795,1.8131806371645671,91.36666666666666,25.946666666666665,50.06666666666667,17.709999999999997,9.586666666666668,4.793333333333334,5.672,1.0,19,2.0,30,13,5.0,34.4,37.9,8.65,13.4,15.0,8.236666666666668,3.6551724137931023,1.320476403058564,11,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Sydney,Melbourne,Tigerair Australia,2011-11-01,2011-11,2011,142.0,142.0,121.0,21.0,0.0,0.0,0.1478873239436619,0,91.36666666666666,25.946666666666665,50.06666666666667,17.709999999999997,9.586666666666668,4.793333333333334,5.672,1.0,19,2.0,30,13,5.0,34.4,37.9,8.65,13.4,15.0,8.236666666666668,3.6551724137931023,1.320476403058564,93.46666666666668,23.383333333333333,43.53333333333333,11.99,9.909090909090908,3.6333333333333337,4.916333333333333,0.0,22,2.0,30,15,6.0,33.6,34.0,10.1,6.8,11.0,11.393333333333334,4.1689655172413795,1.8131806371645671,11,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Melbourne,Sydney,Virgin Australia,2011-11-01,2011-11,2011,824.0,808.0,602.0,206.0,16.0,1.9417475728155336,0.2549504950495049,1,93.46666666666668,23.383333333333333,43.53333333333333,11.99,9.909090909090908,3.6333333333333337,4.916333333333333,0.0,22,2.0,30,15,6.0,33.6,34.0,10.1,6.8,11.0,11.393333333333334,4.1689655172413795,1.8131806371645671,91.36666666666666,25.946666666666665,50.06666666666667,17.709999999999997,9.586666666666668,4.793333333333334,5.672,1.0,19,2.0,30,13,5.0,34.4,37.9,8.65,13.4,15.0,8.236666666666668,3.6551724137931023,1.320476403058564,11,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Sydney,Melbourne,Virgin Australia,2011-11-01,2011-11,2011,824.0,809.0,612.0,197.0,15.0,1.820388349514563,0.2435105067985166,0,91.36666666666666,25.946666666666665,50.06666666666667,17.709999999999997,9.586666666666668,4.793333333333334,5.672,1.0,19,2.0,30,13,5.0,34.4,37.9,8.65,13.4,15.0,8.236666666666668,3.6551724137931023,1.320476403058564,93.46666666666668,23.383333333333333,43.53333333333333,11.99,9.909090909090908,3.6333333333333337,4.916333333333333,0.0,22,2.0,30,15,6.0,33.6,34.0,10.1,6.8,11.0,11.393333333333334,4.1689655172413795,1.8131806371645671,11,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Melbourne,Sydney,Jetstar,2011-12-01,2011-12,2011,184.0,183.0,147.0,36.0,1.0,0.5434782608695652,0.1967213114754098,0,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
Sydney,Melbourne,Jetstar,2011-12-01,2011-12,2011,186.0,183.0,147.0,36.0,3.0,1.6129032258064515,0.1967213114754098,0,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
Melbourne,Sydney,Qantas,2011-12-01,2011-12,2011,838.0,813.0,615.0,198.0,25.0,2.983293556085919,0.2435424354243542,0,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
Sydney,Melbourne,Qantas,2011-12-01,2011-12,2011,838.0,813.0,732.0,81.0,25.0,2.983293556085919,0.0996309963099631,0,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
Melbourne,Sydney,Tigerair Australia,2011-12-01,2011-12,2011,176.0,173.0,163.0,10.0,3.0,1.7045454545454544,0.0578034682080924,0,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
Sydney,Melbourne,Tigerair Australia,2011-12-01,2011-12,2011,176.0,173.0,160.0,13.0,3.0,1.7045454545454544,0.0751445086705202,0,88.70967741935483,22.638709677419353,54.67741935483871,16.783870967741933,5.53,3.56774193548387,6.0122580645161285,0.0,17,8.0,31,13,2.0,38.0,28.4,9.15,12.0,20.0,5.854838709677419,1.9166666666666663,1.8667274567674472,92.03225806451611,24.18064516129032,41.806451612903224,12.21935483870968,6.7555555555555555,1.961290322580645,5.377419354838709,0.0,21,1.0,31,14,2.0,28.4,34.2,8.38,3.5,9.0,11.961290322580645,3.2733333333333325,1.2282072782228457,12,2,3,2,3,3,3,2,3,2,3,1,14,0.4516
