departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay,avg_max_humidity_dep,avg_max_temp_dep,avg_min_humidity_dep,avg_min_temp_dep,avg_rainfall_on_rainy_days_dep,avg_rainfall_per_day_dep,avg_wind_speed_dep,days_above_35C_dep,days_high_humidity_dep,days_high_wind_dep,days_in_month_dep,extreme_weather_days_dep,heavy_rain_days_dep,max_daily_rainfall_dep,max_temperature_dep,max_wind_speed_dep,min_temperature_dep,rainy_days_dep,temp_range_mean_dep,temp_volatility_dep,wind_speed_std_dep,avg_max_humidity_arr,avg_max_temp_arr,avg_min_humidity_arr,avg_min_temp_arr,avg_rainfall_on_rainy_days_arr,avg_rainfall_per_day_arr,avg_wind_speed_arr,days_above_35C_arr,days_high_humidity_arr,days_high_wind_arr,days_in_month_arr,extreme_weather_days_arr,heavy_rain_days_arr,max_daily_rainfall_arr,max_temperature_arr,max_wind_speed_arr,min_temperature_arr,rainy_days_arr,temp_range_mean_arr,temp_volatility_arr,wind_speed_std_arr
Melbourne,Hobart,Virgin Australia,2023-01-01,2023-01,2023,141.0,140.0,104.0,36.0,1.0,0.7092198581560284,0.2571428571428571,1,88.93548387096774,26.92258064516129,42.25806451612903,15.045161290322582,1.7666666666666666,0.3419354838709678,5.051935483870968,3.0,15,2.0,31,8,0.0,4.2,37.4,9.09,9.6,6.0,11.87741935483871,5.636666666666666,1.474827491278983,88.12903225806451,23.66774193548387,47.25806451612903,13.151612903225804,0.7333333333333333,0.1419354838709677,4.42741935483871,0.0,13,0.0,31,5,0.0,1.4,32.9,7.21,8.3,6.0,10.516129032258064,3.89,1.0019912432815483
Melbourne,Sydney,Virgin Australia,2023-01-01,2023-01,2023,736.0,701.0,546.0,155.0,35.0,4.755434782608696,0.2211126961483595,0,88.93548387096774,26.92258064516129,42.25806451612903,15.045161290322582,1.7666666666666666,0.3419354838709678,5.051935483870968,3.0,15,2.0,31,8,0.0,4.2,37.4,9.09,9.6,6.0,11.87741935483871,5.636666666666666,1.474827491278983,89.35483870967742,26.55161290322581,57.25806451612903,19.125806451612902,6.257142857142856,4.238709677419355,6.172580645161291,0.0,15,5.0,31,9,4.0,49.8,33.3,11.97,14.4,21.0,7.425806451612903,2.53,2.068898205554405
Sydney,Hobart,Virgin Australia,2023-01-01,2023-01,2023,79.0,78.0,69.0,9.0,1.0,1.2658227848101267,0.11538461538461539,0,89.35483870967742,26.55161290322581,57.25806451612903,19.125806451612902,6.257142857142856,4.238709677419355,6.172580645161291,0.0,15,5.0,31,9,4.0,49.8,33.3,11.97,14.4,21.0,7.425806451612903,2.53,2.068898205554405,88.12903225806451,23.66774193548387,47.25806451612903,13.151612903225804,0.7333333333333333,0.1419354838709677,4.42741935483871,0.0,13,0.0,31,5,0.0,1.4,32.9,7.21,8.3,6.0,10.516129032258064,3.89,1.0019912432815483
Sydney,Melbourne,Virgin Australia,2023-01-01,2023-01,2023,727.0,688.0,529.0,159.0,39.0,5.364511691884457,0.2311046511627907,0,89.35483870967742,26.55161290322581,57.25806451612903,19.125806451612902,6.257142857142856,4.238709677419355,6.172580645161291,0.0,15,5.0,31,9,4.0,49.8,33.3,11.97,14.4,21.0,7.425806451612903,2.53,2.068898205554405,88.93548387096774,26.92258064516129,42.25806451612903,15.045161290322582,1.7666666666666666,0.3419354838709678,5.051935483870968,3.0,15,2.0,31,8,0.0,4.2,37.4,9.09,9.6,6.0,11.87741935483871,5.636666666666666,1.474827491278983
Hobart,Melbourne,Jetstar,2023-02-01,2023-02,2023,160.0,155.0,78.0,77.0,5.0,3.125,0.4967741935483871,1,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242
Hobart,Sydney,Jetstar,2023-02-01,2023-02,2023,82.0,78.0,50.0,28.0,4.0,4.878048780487805,0.358974358974359,1,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146
Melbourne,Hobart,Jetstar,2023-02-01,2023-02,2023,160.0,155.0,77.0,78.0,5.0,3.125,0.5032258064516129,1,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
Melbourne,Sydney,Jetstar,2023-02-01,2023-02,2023,358.0,297.0,148.0,149.0,61.0,17.039106145251395,0.5016835016835017,1,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146
Sydney,Hobart,Jetstar,2023-02-01,2023-02,2023,82.0,78.0,50.0,28.0,4.0,4.878048780487805,0.358974358974359,1,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
Sydney,Melbourne,Jetstar,2023-02-01,2023-02,2023,357.0,299.0,171.0,128.0,58.0,16.246498599439775,0.4280936454849498,1,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242
