Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1949,12,45.0,Y
IDCJAC0001,066037,1950,01,112.1,Y
IDCJAC0001,066037,1950,02,120.9,Y
IDCJAC0001,066037,1950,03,129.7,Y
IDCJAC0001,066037,1950,04,165.2,Y
IDCJAC0001,066037,1950,05,138.8,Y
IDCJAC0001,066037,1950,06,465.9,Y
IDCJAC0001,066037,1950,07,253.7,Y
IDCJAC0001,066037,1950,08,75.2,Y
IDCJAC0001,066037,1950,09,97.6,Y
IDCJAC0001,066037,1950,10,99.3,Y
IDCJAC0001,066037,1950,11,92.7,Y
IDCJAC0001,066037,1950,12,19.4,Y
IDCJAC0001,066037,1951,01,198.2,Y
IDCJAC0001,066037,1951,02,53.5,Y
IDCJAC0001,066037,1951,03,81.4,Y
IDCJAC0001,066037,1951,04,44.6,Y
IDCJAC0001,066037,1951,05,113.0,Y
IDCJAC0001,066037,1951,06,311.5,Y
IDCJAC0001,066037,1951,07,21.6,Y
IDCJAC0001,066037,1951,08,98.0,Y
IDCJAC0001,066037,1951,09,74.8,Y
IDCJAC0001,066037,1951,10,47.1,Y
IDCJAC0001,066037,1951,11,9.7,Y
IDCJAC0001,066037,1951,12,20.0,Y
IDCJAC0001,066037,1952,01,29.5,Y
IDCJAC0001,066037,1952,02,45.7,Y
IDCJAC0001,066037,1952,03,70.0,Y
IDCJAC0001,066037,1952,04,347.3,Y
IDCJAC0001,066037,1952,05,43.7,Y
IDCJAC0001,066037,1952,06,187.3,Y
IDCJAC0001,066037,1952,07,176.2,Y
IDCJAC0001,066037,1952,08,229.4,Y
IDCJAC0001,066037,1952,09,14.4,Y
IDCJAC0001,066037,1952,10,169.1,Y
IDCJAC0001,066037,1952,11,69.4,Y
IDCJAC0001,066037,1952,12,40.2,Y
IDCJAC0001,066037,1953,01,75.2,Y
IDCJAC0001,066037,1953,02,179.4,Y
IDCJAC0001,066037,1953,03,86.3,Y
IDCJAC0001,066037,1953,04,20.8,Y
IDCJAC0001,066037,1953,05,302.9,Y
IDCJAC0001,066037,1953,06,26.7,Y
IDCJAC0001,066037,1953,07,49.0,Y
IDCJAC0001,066037,1953,08,38.1,Y
IDCJAC0001,066037,1953,09,29.8,Y
IDCJAC0001,066037,1953,10,65.2,Y
IDCJAC0001,066037,1953,11,34.1,Y
IDCJAC0001,066037,1953,12,8.5,Y
IDCJAC0001,066037,1954,01,86.3,Y
IDCJAC0001,066037,1954,02,240.4,Y
IDCJAC0001,066037,1954,03,13.1,Y
IDCJAC0001,066037,1954,04,22.0,Y
IDCJAC0001,066037,1954,05,28.1,Y
IDCJAC0001,066037,1954,06,9.2,Y
IDCJAC0001,066037,1954,07,93.1,Y
IDCJAC0001,066037,1954,08,31.5,Y
IDCJAC0001,066037,1954,09,47.4,Y
IDCJAC0001,066037,1954,10,211.2,Y
IDCJAC0001,066037,1954,12,93.9,Y
IDCJAC0001,066037,1955,01,197.8,Y
IDCJAC0001,066037,1955,02,275.7,Y
IDCJAC0001,066037,1955,03,208.0,Y
IDCJAC0001,066037,1955,04,106.6,Y
IDCJAC0001,066037,1955,05,309.0,Y
IDCJAC0001,066037,1955,06,113.5,Y
IDCJAC0001,066037,1955,07,40.6,Y
IDCJAC0001,066037,1955,08,7.9,Y
IDCJAC0001,066037,1955,09,28.4,Y
IDCJAC0001,066037,1955,10,33.3,Y
IDCJAC0001,066037,1955,11,234.5,Y
IDCJAC0001,066037,1955,12,166.6,Y
IDCJAC0001,066037,1956,01,83.8,Y
IDCJAC0001,066037,1956,02,596.9,Y
IDCJAC0001,066037,1956,03,312.2,Y
IDCJAC0001,066037,1956,04,29.5,Y
IDCJAC0001,066037,1956,05,147.4,Y
IDCJAC0001,066037,1956,06,209.0,Y
IDCJAC0001,066037,1956,07,48.2,Y
IDCJAC0001,066037,1956,08,84.7,Y
IDCJAC0001,066037,1956,09,27.6,Y
IDCJAC0001,066037,1956,10,49.1,Y
IDCJAC0001,066037,1956,11,5.7,Y
IDCJAC0001,066037,1956,12,27.6,Y
IDCJAC0001,066037,1957,01,59.8,Y
IDCJAC0001,066037,1957,02,99.5,Y
IDCJAC0001,066037,1957,03,158.5,Y
IDCJAC0001,066037,1957,04,20.3,Y
IDCJAC0001,066037,1957,05,2.9,Y
IDCJAC0001,066037,1957,06,32.0,Y
IDCJAC0001,066037,1957,07,191.6,Y
IDCJAC0001,066037,1957,08,157.8,Y
IDCJAC0001,066037,1957,09,25.9,Y
IDCJAC0001,066037,1957,10,9.2,Y
IDCJAC0001,066037,1957,11,26.2,Y
IDCJAC0001,066037,1957,12,52.4,Y
IDCJAC0001,066037,1958,01,84.0,Y
IDCJAC0001,066037,1958,02,256.9,Y
IDCJAC0001,066037,1958,03,322.8,Y
IDCJAC0001,066037,1958,04,46.9,Y
IDCJAC0001,066037,1958,05,13.8,Y
IDCJAC0001,066037,1958,06,232.8,Y
IDCJAC0001,066037,1958,07,27.0,Y
